station_id	station_name	latitude	longitude
101	UT Dallas / Synergy Park	32.988600	-96.751800
102	Galatyn Park	32.978600	-96.708800
103	CityLine/Bush	32.973800	-96.701900
104	Spring Valley	32.952700	-96.698100
105	LBJ/Skillman	32.906800	-96.721400
106	Park Lane	32.868200	-96.760300
107	Mockingbird	32.838400	-96.777400
108	Downtown Plano	33.019700	-96.700200
109	Parker Road	33.003700	-96.714800
110	Bush Turnpike	32.993400	-96.713200
111	Rowlett	32.901900	-96.563200
112	Lakeview Pkwy	32.880500	-96.613800
113	Buckingham	32.867200	-96.664900
114	LBJ/Central	32.901600	-96.769500
115	Carrollton	32.974900	-96.889100
116	Trinity Mills	32.992600	-96.897600
117	Farmers Branch	32.940300	-96.877200
118	Royal Lane	32.920500	-96.851100
119	Walnut Hill/Denton	32.869100	-96.820400
120	DFW Airport Terminal E	32.897200	-97.047200
121	North Irving	32.849800	-96.983300
122	Belt Line	32.870600	-96.978800
123	Plano Intermodal Center	33.019700	-96.700200
124	West Plano	33.019200	-96.779800
125	Addison Transit Center	32.961600	-96.830200
126	North Carrollton	32.996800	-96.906200
127	Downtown Garland	32.912800	-96.637200
128	Bachman	32.869600	-96.872500
